flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,484,MEX,392,JPN,07,Vegetables and certain roots and tubers; edible,N/A,,2242.0
M,484,MEX,392,JPN,09,"Coffee, tea, mate and spices",N/A,,86911.0
M,484,MEX,392,JPN,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",N/A,,12106.0
M,484,MEX,392,JPN,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,,796389.0
M,484,MEX,392,JPN,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,,376282.0
M,484,MEX,392,JPN,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,N/A,,758957.0
M,484,MEX,392,JPN,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,,335142.0
M,484,MEX,392,JPN,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,,1327240.0
M,484,MEX,392,JPN,17,Sugars and sugar confectionery,N/A,,130907.0
M,484,MEX,392,JPN,18,Cocoa and cocoa preparations,N/A,,961.0
M,484,MEX,392,JPN,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,,486183.0
M,484,MEX,392,JPN,20,"Preparations of vegetables, fruit, nuts or other parts of plants",N/A,,175627.0
M,484,MEX,392,JPN,21,Miscellaneous edible preparations,N/A,,2226349.0
M,484,MEX,392,JPN,22,"Beverages, spirits and vinegar",N/A,,305442.0
M,484,MEX,392,JPN,31,Fertilizers,N/A,,33737.0
M,484,MEX,392,JPN,29,Organic chemicals,N/A,,79563128.0
M,484,MEX,392,JPN,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,,840733.0
M,484,MEX,392,JPN,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,,1143304.0
M,484,MEX,392,JPN,26,"Ores, slag and ash",N/A,,12511.0
M,484,MEX,392,JPN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,85498925.0
M,484,MEX,392,JPN,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,,4008362.0
M,484,MEX,392,JPN,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",N/A,,40060434.0
M,484,MEX,392,JPN,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,,5966884.0
M,484,MEX,392,JPN,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",N/A,,6269617.0
M,484,MEX,392,JPN,35,Albuminoidal substances; modified starches; glues; enzymes,N/A,,11783697.0
M,484,MEX,392,JPN,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,N/A,,4348744.0
M,484,MEX,392,JPN,37,Photographic or cinematographic goods,N/A,,46982558.0
M,484,MEX,392,JPN,38,Chemical products n.e.c.,N/A,,35443500.0
M,484,MEX,392,JPN,30,Pharmaceutical products,N/A,,54669075.0
