flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,156,CHN,246,FIN,64,Footwear; gaiters and the like; parts of such articles,N/A,,49745869.0
X,156,CHN,251,FRA,64,Footwear; gaiters and the like; parts of such articles,N/A,,178792072.0
X,156,CHN,258,PYF,64,Footwear; gaiters and the like; parts of such articles,N/A,,108097.0
X,156,CHN,262,DJI,64,Footwear; gaiters and the like; parts of such articles,N/A,,4884693.0
X,156,CHN,266,GAB,64,Footwear; gaiters and the like; parts of such articles,N/A,,182966.0
X,156,CHN,268,GEO,64,Footwear; gaiters and the like; parts of such articles,N/A,,170621.0
X,156,CHN,270,GMB,64,Footwear; gaiters and the like; parts of such articles,N/A,,6995294.0
X,156,CHN,275,PSE,64,Footwear; gaiters and the like; parts of such articles,N/A,,318796.0
X,156,CHN,276,DEU,64,Footwear; gaiters and the like; parts of such articles,N/A,,173370787.0
X,156,CHN,288,GHA,64,Footwear; gaiters and the like; parts of such articles,N/A,,31398797.0
X,156,CHN,296,KIR,64,Footwear; gaiters and the like; parts of such articles,N/A,,2615.0
X,156,CHN,300,GRC,64,Footwear; gaiters and the like; parts of such articles,N/A,,38252374.0
X,156,CHN,308,GRD,64,Footwear; gaiters and the like; parts of such articles,N/A,,11141.0
X,156,CHN,320,GTM,64,Footwear; gaiters and the like; parts of such articles,N/A,,9400572.0
X,156,CHN,324,GIN,64,Footwear; gaiters and the like; parts of such articles,N/A,,4989443.0
X,156,CHN,328,GUY,64,Footwear; gaiters and the like; parts of such articles,N/A,,2015658.0
X,156,CHN,332,HTI,64,Footwear; gaiters and the like; parts of such articles,N/A,,1950148.0
X,156,CHN,340,HND,64,Footwear; gaiters and the like; parts of such articles,N/A,,1713662.0
X,156,CHN,344,HKG,64,Footwear; gaiters and the like; parts of such articles,N/A,,665282154.0
X,156,CHN,348,HUN,64,Footwear; gaiters and the like; parts of such articles,N/A,,77674897.0
X,156,CHN,352,ISL,64,Footwear; gaiters and the like; parts of such articles,N/A,,440880.0
X,156,CHN,360,IDN,64,Footwear; gaiters and the like; parts of such articles,N/A,,32572434.0
X,156,CHN,364,IRN,64,Footwear; gaiters and the like; parts of such articles,N/A,,13652151.0
X,156,CHN,368,IRQ,64,Footwear; gaiters and the like; parts of such articles,N/A,,23282.0
X,156,CHN,372,IRL,64,Footwear; gaiters and the like; parts of such articles,N/A,,7328563.0
X,156,CHN,376,ISR,64,Footwear; gaiters and the like; parts of such articles,N/A,,46634820.0
X,156,CHN,380,ITA,64,Footwear; gaiters and the like; parts of such articles,N/A,,238956345.0
X,156,CHN,384,CIV,64,Footwear; gaiters and the like; parts of such articles,N/A,,7082730.0
X,156,CHN,388,JAM,64,Footwear; gaiters and the like; parts of such articles,N/A,,3313974.0
X,156,CHN,392,JPN,64,Footwear; gaiters and the like; parts of such articles,N/A,,1096148659.0
X,156,CHN,398,KAZ,64,Footwear; gaiters and the like; parts of such articles,N/A,,358173035.0
X,156,CHN,400,JOR,64,Footwear; gaiters and the like; parts of such articles,N/A,,32588575.0
X,156,CHN,404,KEN,64,Footwear; gaiters and the like; parts of such articles,N/A,,9888504.0
X,156,CHN,408,PRK,64,Footwear; gaiters and the like; parts of such articles,N/A,,3464854.0
X,156,CHN,410,KOR,64,Footwear; gaiters and the like; parts of such articles,N/A,,255844248.0
X,156,CHN,414,KWT,64,Footwear; gaiters and the like; parts of such articles,N/A,,10343013.0
X,156,CHN,417,KGZ,64,Footwear; gaiters and the like; parts of such articles,N/A,,26494085.0
X,156,CHN,418,LAO,64,Footwear; gaiters and the like; parts of such articles,N/A,,154537.0
X,156,CHN,422,LBN,64,Footwear; gaiters and the like; parts of such articles,N/A,,17202808.0
X,156,CHN,426,LSO,64,Footwear; gaiters and the like; parts of such articles,N/A,,426324.0
X,156,CHN,428,LVA,64,Footwear; gaiters and the like; parts of such articles,N/A,,7493235.0
X,156,CHN,430,LBR,64,Footwear; gaiters and the like; parts of such articles,N/A,,283734.0
X,156,CHN,434,LBY,64,Footwear; gaiters and the like; parts of such articles,N/A,,8912299.0
X,156,CHN,440,LTU,64,Footwear; gaiters and the like; parts of such articles,N/A,,13991781.0
X,156,CHN,442,LUX,64,Footwear; gaiters and the like; parts of such articles,N/A,,7387.0
X,156,CHN,446,MAC,64,Footwear; gaiters and the like; parts of such articles,N/A,,75096287.0
X,156,CHN,450,MDG,64,Footwear; gaiters and the like; parts of such articles,N/A,,2774191.0
X,156,CHN,454,MWI,64,Footwear; gaiters and the like; parts of such articles,N/A,,1449775.0
X,156,CHN,458,MYS,64,Footwear; gaiters and the like; parts of such articles,N/A,,99981921.0
X,156,CHN,462,MDV,64,Footwear; gaiters and the like; parts of such articles,N/A,,36708.0
X,156,CHN,466,MLI,64,Footwear; gaiters and the like; parts of such articles,N/A,,548312.0
X,156,CHN,470,MLT,64,Footwear; gaiters and the like; parts of such articles,N/A,,1465771.0
X,156,CHN,478,MRT,64,Footwear; gaiters and the like; parts of such articles,N/A,,1437819.0
X,156,CHN,480,MUS,64,Footwear; gaiters and the like; parts of such articles,N/A,,3825627.0
X,156,CHN,484,MEX,64,Footwear; gaiters and the like; parts of such articles,N/A,,7554427.0
X,156,CHN,490,S19,64,Footwear; gaiters and the like; parts of such articles,N/A,,63304151.0
X,156,CHN,496,MNG,64,Footwear; gaiters and the like; parts of such articles,N/A,,622547.0
X,156,CHN,498,MDA,64,Footwear; gaiters and the like; parts of such articles,N/A,,7826.0
X,156,CHN,504,MAR,64,Footwear; gaiters and the like; parts of such articles,N/A,,13680978.0
