flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,392,JPN,180,COD,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,3877903.0
X,392,JPN,188,CRI,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,97361332.0
X,392,JPN,184,COK,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,1544855.0
X,392,JPN,191,HRV,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,11297833.0
X,392,JPN,192,CUB,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,2717838.0
X,392,JPN,196,CYP,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,159228976.0
X,392,JPN,203,CZE,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,125590542.0
X,392,JPN,204,BEN,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,2476610.0
X,392,JPN,208,DNK,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,259333837.0
X,392,JPN,212,DMA,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,3379299.0
X,392,JPN,214,DOM,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,80050833.0
X,392,JPN,218,ECU,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,195386332.0
X,392,JPN,222,SLV,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,80173420.0
X,392,JPN,231,ETH,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,45093448.0
X,392,JPN,226,GNQ,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,316224.0
X,392,JPN,232,ERI,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,3786544.0
X,392,JPN,233,EST,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,6916525.0
X,392,JPN,242,FJI,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,28125521.0
X,392,JPN,246,FIN,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,424860388.0
X,392,JPN,251,FRA,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,1880503542.0
X,392,JPN,258,PYF,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,16608144.0
X,392,JPN,268,GEO,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,1599542.0
X,392,JPN,262,DJI,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,9944036.0
X,392,JPN,270,GMB,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,1864981.0
X,392,JPN,266,GAB,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,22931843.0
X,392,JPN,276,DEU,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,3494208495.0
X,392,JPN,296,KIR,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,1586917.0
X,392,JPN,288,GHA,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,34345799.0
X,392,JPN,292,GIB,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,65138469.0
X,392,JPN,300,GRC,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,513963539.0
X,392,JPN,308,GRD,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,8887929.0
X,392,JPN,316,GUM,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,48462502.0
X,392,JPN,320,GTM,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,163228435.0
