flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,608,PHL,288,GHA,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,12438.0
X,608,PHL,296,KIR,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,2501.0
X,608,PHL,300,GRC,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1391.0
X,608,PHL,316,GUM,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,304649.0
X,608,PHL,320,GTM,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,95.0
X,608,PHL,328,GUY,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1315.0
X,608,PHL,340,HND,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,161.0
X,608,PHL,344,HKG,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,8364802.0
X,608,PHL,348,HUN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,17884.0
X,608,PHL,352,ISL,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1169.0
X,608,PHL,360,IDN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,115550.0
X,608,PHL,364,IRN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,14441.0
X,608,PHL,368,IRQ,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,350.0
X,608,PHL,372,IRL,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,3911.0
X,608,PHL,376,ISR,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,5130.0
X,608,PHL,380,ITA,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,45578718.0
X,608,PHL,384,CIV,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,2049.0
X,608,PHL,388,JAM,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,3421.0
X,608,PHL,392,JPN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,21332346.0
X,608,PHL,404,KEN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,6025.0
X,608,PHL,400,JOR,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,10777.0
X,608,PHL,410,KOR,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,21674932.0
X,608,PHL,414,KWT,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,98570.0
X,608,PHL,422,LBN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,45918.0
X,608,PHL,426,LSO,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,265.0
X,608,PHL,418,LAO,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,508.0
X,608,PHL,428,LVA,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,6646.0
X,608,PHL,430,LBR,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1234.0
X,608,PHL,442,LUX,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,64696.0
X,608,PHL,446,MAC,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,27258.0
X,608,PHL,450,MDG,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,210.0
X,608,PHL,458,MYS,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,186620.0
X,608,PHL,462,MDV,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1695.0
X,608,PHL,466,MLI,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,30.0
X,608,PHL,470,MLT,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,687.0
X,608,PHL,484,MEX,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1507844.0
X,608,PHL,480,MUS,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,603.0
X,608,PHL,490,S19,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,553157.0
X,608,PHL,504,MAR,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,10765.0
X,608,PHL,496,MNG,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,10298.0
X,608,PHL,508,MOZ,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,123.0
X,608,PHL,512,OMN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,5892.0
X,608,PHL,516,NAM,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,178.0
X,608,PHL,524,NPL,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1500.0
X,608,PHL,528,NLD,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,6576423.0
X,608,PHL,540,NCL,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1736.0
X,608,PHL,531,CUW,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,894.0
X,608,PHL,533,ABW,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,900.0
X,608,PHL,548,VUT,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,5163.0
X,608,PHL,558,NIC,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,60.0
X,608,PHL,566,NGA,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,29958.0
X,608,PHL,574,NFK,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,3999980.0
X,608,PHL,579,NOR,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,26073.0
X,608,PHL,580,MNP,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,4701.0
X,608,PHL,581,UMI,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,8631.0
X,608,PHL,583,FSM,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,45802.0
X,608,PHL,584,MHL,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,615.0
X,608,PHL,585,PLW,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,53291.0
X,608,PHL,586,PAK,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,6713.0
X,608,PHL,591,PAN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1802707.0
X,608,PHL,598,PNG,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,413627.0
X,608,PHL,600,PRY,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,830.0
X,608,PHL,604,PER,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,36250.0
X,608,PHL,616,POL,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1812.0
X,608,PHL,626,TLS,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,21143.0
X,608,PHL,634,QAT,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,43423.0
X,608,PHL,620,PRT,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,26673.0
X,608,PHL,643,RUS,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,32160.0
X,608,PHL,642,ROU,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,680.0
X,608,PHL,646,RWA,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,4526.0
X,608,PHL,662,LCA,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,151.0
X,608,PHL,670,VCT,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,339.0
X,608,PHL,678,STP,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,75.0
X,608,PHL,682,SAU,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,837063.0
X,608,PHL,686,SEN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,589.0
X,608,PHL,688,SRB,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,4060.0
X,608,PHL,690,SYC,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1855.0
X,608,PHL,699,IND,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,78262.0
X,608,PHL,702,SGP,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1113782.0
X,608,PHL,704,VNM,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,812913.0
X,608,PHL,705,SVN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,495.0
X,608,PHL,716,ZWE,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,413.0
X,608,PHL,710,ZAF,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,79011.0
X,608,PHL,724,ESP,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,3361306.0
X,608,PHL,729,SDN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1250.0
X,608,PHL,740,SUR,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,31.0
X,608,PHL,748,SWZ,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,180.0
X,608,PHL,752,SWE,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,3622397.0
X,608,PHL,757,CHE,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,213173.0
